"Environnement Canada"
"Valeurs mensuelles pour janvier - 1987"

"Légende"
"Nom","Nom de la station"
"Lat","Latitude (Nord + , degrés)"
"Long","Longitude (Ouest - , degrés)"
"Prov","Province"
"Tm","Température moyenne (°C)"
"DwTm","Jours sans température moyenne valide"
"D","Différence moyenne de température par rapport à la normale (1981-2010) (°C)"
"Tx","Température maximale (°C)"
"DwTx","Jours sans température maximale valide"
"Tn","Température minimale (°C)"
"DwTn","Jours sans température minimale valide"
"S","Chutes de neige (cm)"
"DwS","Jours sans chutes de neige valide"
"S%N","Pourcentage normale (1981-2010) de chutes de neige"
"P","Précipitations totales (mm)"
"DwP","Jours sans hauteur totale de précipitations valide"
"P%N","Pourcentage normale (1981-2010) de précipitations"
"S_G","Neige au sol à la fin du mois (cm)"
"Pd","Nombre de jours avec 1,0 mm ou plus de précipitations"
"BS","Durée d'ensoleillement (heures)"
"DwBS","Jours sans insolation effective valide"
"BS%","Pourcentage normale (1981-2010) d'ensoleillement"
"HDD","Degrés jours sous 18 °C"
"CDD","Degrés jours plus 18 °C"
"Stn_No","Identificateur de la station climatique (les 3 premiers numéros correspondent au district climatique du bassin-versant, les 4 derniers caractère servent au triage alphabétique)."
"ND","Non disponible"

"Nom","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"BERTHIERVILLE","46,050","-73,183","QC","-9,5","0",ND,"2,0","0","-30,0","0","49,2","0",ND,"49,2","0",ND,"49,0","9","77,5","0",ND,"853,8","0,0","7010720"
"CHAMPLAIN","46,467","-72,333","QC","-11,4","0",ND,"1,0","0","-33,5","0","77,0","0",ND,"77,0","0",ND,"23,0","9","73,9",".29166666666666666666666666666666666667",ND,"911,2","0,0","7011290"
"CHARLESBOURG PARC ORLEAN","46,867","-71,267","QC","-10,9","0",ND,"0,5","0","-27,0","0","60,4","0",ND,"60,4","0",ND,"68,0","10","","",ND,"894,8","0,0","7011309"
"COTEAU DU LAC","45,317","-74,167","QC","-10,0","0",ND,"1,0","0","-30,0","0","63,0","0",ND,"64,0","0",ND,"65,0","9","","",ND,"868,5","0,0","7011947"
"DESCHAMBAULT","46,667","-71,917","QC","-11,5","0","0,7","1,0","0","-31,5","0","59,0","0","116,0","59,0","0","77,0","40,0","10","","",ND,"913,1","0,0","7011982"
"DONNACONA 2","46,683","-71,733","QC","-11,3","0","1,0","0,0","0","-31,0","0","51,4","0","84,0","51,4","0","63,0","60,0","6","","",ND,"908,4","0,0","7012071"
"DUBERGER","46,817","-71,300","QC","-10,6","0",ND,"0,5","0","-26,0","0","54,9","0",ND,"54,9","0",ND,"84,0","9","","",ND,"886,1","0,0","7012232"
"DUCHESNAY","46,867","-71,650","QC","-12,3","0",ND,"0,5","0","-34,0","0","73,7","0",ND,"73,7","0",ND,"72,0","10","99,3","0",ND,"940,3","0,0","7012240"
"HEROUXVILLE","46,667","-72,600","QC","-12,4","0",ND,"0,0","0","-34,5","0","56,4","0",ND,"56,4","0",ND,"58,0","8","","",ND,"941,7","0,0","7013100"
"JOLIETTE VILLE","46,017","-73,433","QC","-10,2","0","1,3","2,0","0","-28,5","0","58,0","0","113,0","58,0","0","75,0","68,0","12","","",ND,"874,4","0,0","7013362"
"L'ASSOMPTION","45,809","-73,435","QC","-11,1","0",ND,"2,5","0","-34,0","0","64,2","0",ND,"64,2","0",ND,"43,0","10","98,8","0",ND,"900,9","0,0","7014160"
"LES CEDRES","45,300","-74,050","QC","-7,8","0",ND,"1,0","0","-24,0","0","71,0","0",ND,"72,7","0",ND,"52,0","13","","",ND,"800,7","0,0","7014290"
"LOUISEVILLE","46,267","-73,017","QC","-11,3","0","1,5","1,0","0","-30,5","0","39,6","0","85,0","39,6","0","58,0","35,0","7","","",ND,"908,3","0,0","7014332"
"MASCOUCHE","45,750","-73,600","QC","-10,2","0","0,6","2,5","0","-34,0","0","55,8","0","129,0","55,8","0","81,0","58,0","8","","",ND,"874,4","0,0","7014629"
"NOTRE DAME DE LA MERCI","46,233","-74,050","QC","-12,9","0",ND,"1,0","0","-36,0","0","46,0","11",ND,"46,0","11",ND,"","7","","",ND,"957,3","0,0","7015665"
"OKA","45,500","-74,067","QC","-10,4","0","0,5","1,5","0","-32,0","0","60,0","0","100,0","60,0","0","67,0","40,0","12","","",ND,"880,7","0,0","7015730"
"QUEBEC/JEAN LESAGE INTL A","46,800","-71,383","QC","-11,3","0","1,5","-0,4","0","-27,5","0","55,5","0","77,0","51,1","0","59,0","66,0","10","107,6","0","109,0","907,9","0,0","7016294"
"RIGAUD","45,500","-74,367","QC","-9,5","0","1,4","2,0","0","-30,0","0","15,5","6",ND,"15,5","6",ND,"38,0","3","","",ND,"853,0","0,0","7016470"
"RIVIERE A PIERRE","47,000","-72,167","QC","-14,7","0",ND,"0,0","0","-41,0","0","70,0","0",ND,"70,0","0",ND,"75,0","11","","",ND,"1014,5","0,0","7016560"
"RIVIERE VERTE OUEST","46,983","-71,833","QC","-12,1","0","1,2","2,0","0","-33,0","0","74,8","0","103,0","74,8","0","81,0","83,0","7","","",ND,"934,0","0,0","7016675"
"ST ALBAN","46,717","-72,083","QC","-12,2","0","0,5","2,0","0","-35,0","0","61,0","0","123,0","61,0","0","91,0","60,0","10","","",ND,"937,5","0,0","7016800"
"ST ALEXIS DES MONTS","46,533","-73,150","QC","-12,9","0","0,2","2,0","0","-39,0","0","56,1","0","105,0","56,1","0","81,0","72,0","7","","",ND,"958,9","0,0","7016816"
"STE ANNE DE LA PERADE","46,583","-72,233","QC","-11,9","0","0,9","0,5","0","-35,0","0","81,2","0","130,0","81,2","0","100,0","43,0","13","","",ND,"927,2","0,0","7016840"
"ST AUGUSTIN","46,733","-71,500","QC","-11,3","0",ND,"-0,5","0","-28,0","0","80,1","0",ND,"80,1","0",ND,"73,0","10","105,3","0",ND,"909,7","0,0","7016900"
"STE BEATRIX","46,200","-73,600","QC","-11,3","0","1,6","3,0","0","-34,5","0","61,0","0","115,0","61,0","0","81,0","71,0","8","86,3","0","106,0","907,2","0,0","7016902"
"ST BENOIT","45,567","-74,050","QC","-10,0","0",ND,"2,5","0","-30,0","0","67,0","0",ND,"67,0","0",ND,"55,0","12","","",ND,"867,6","0,0","7016906"
"STE CATHERINE","46,850","-71,617","QC","-12,6","0",ND,"0,0","0","-34,0","0","4,8","5",ND,"4,8","5",ND,"62,0","3","","",ND,"948,5","0,0","7016932"
"ST CHARLES DE MANDEVILLE","46,350","-73,350","QC","-11,6","0","1,1","1,5","0","-35,0","0","55,4","0","106,0","55,4","0","78,0","60,0","8","","",ND,"916,6","0,0","7016960"
"STE CHRISTINE","46,817","-71,917","QC","-13,4","0",ND,"0,0","0","-36,5","0","61,3","0",ND,"61,3","0",ND,"92,0","7","","",ND,"973,9","0,0","7017000"
"ST COME","46,283","-73,750","QC","-12,5","0","1,0","1,0","0","-37,0","0","58,9","0","96,0","58,9","0","77,0","54,0","7","","",ND,"945,0","0,0","7017080"
"ST DONAT","46,317","-74,200","QC","-12,0","0","1,4","0,0","0","-35,0","0","48,7","0","70,0","48,7","0","51,0","70,0","9","","",ND,"929,6","0,0","7017100"
"ST JACQUES","45,950","-73,583","QC","-11,6","0",ND,"3,0","0","-33,0","0","64,0","0",ND,"64,0","0",ND,"93,0","9","","",ND,"916,8","0,0","7017380"
"ST JANVIER","45,733","-73,883","QC","-10,6","0",ND,"2,5","0","-32,5","0","59,0","0",ND,"59,0","0",ND,"32,0","13","","",ND,"885,2","0,0","7017386"
"ST JOSEPH DE MEKINAC","46,917","-72,683","QC","-13,7","0",ND,"0,0","0","-41,0","0","71,0","0",ND,"71,0","0",ND,"","9","","",ND,"982,4","0,0","7017422"
"ST JUSTIN","46,267","-73,100","QC","-11,4","0",ND,"1,0","0","-31,5","0","56,2","0",ND,"56,2","0",ND,"70,0","8","","",ND,"911,8","0,0","7017435"
"ST MATHIEU","46,583","-72,933","QC","-12,9","0",ND,"0,0","0","-37,5","0","60,4","0",ND,"60,4","0",ND,"63,0","7","85,4","0",ND,"957,3","0,0","7017555"
"ST NARCISSE","46,533","-72,433","QC","-11,7","0","1,0","0,0","0","-32,5","0","39,8","0","94,0","39,8","0","65,0","50,0","7","","",ND,"920,7","0,0","7017585"
"ST PAULIN","46,417","-73,017","QC","-11,5","0",ND,"1,5","0","-32,0","0","61,1","0",ND,"61,1","0",ND,"54,0","8","","",ND,"915,0","0,0","7017640"
"ST PLACIDE","45,550","-74,200","QC","-10,6","0",ND,"2,0","0","-32,0","0","36,4","0",ND,"36,4","0",ND,"34,0","9","","",ND,"887,2","0,0","7017657"
"STE THERESE OUEST","45,650","-73,883","QC","-10,0","0","0,9","2,0","0","-31,0","0","61,2","0","129,0","62,0","0","78,0","51,0","10","","",ND,"867,7","0,0","7017755"
"ST THOMAS DE CAXTON","46,367","-72,800","QC","-11,5","0",ND,"1,0","0","-34,0","0","35,5","0",ND,"35,5","0",ND,"55,0","9","","",ND,"913,8","0,0","7017757"
"ST ZENON","46,617","-73,867","QC","-13,0","0",ND,"-0,5","0","-37,0","0","35,5","0",ND,"35,5","0",ND,"50,0","9","","",ND,"961,5","0,0","7017786"
"STE FOY (PIE XII)","46,783","-71,317","QC","-11,3","0",ND,"0,0","0","-28,0","0","60,0","0",ND,"60,0","0",ND,"86,0","9","","",ND,"907,4","0,0","7017BFN"
"SHAWINIGAN","46,567","-72,750","QC","-11,0","0",ND,"1,0","0","-29,5","0","64,8","0",ND,"64,8","0",ND,"50,0","7","","",ND,"898,1","0,0","7018000"
"VILLENEUVE","46,867","-71,167","QC","-10,2","0",ND,"0,0","0","-26,0","0","60,0","0",ND,"60,0","0",ND,"36,0","10","","",ND,"873,5","0,0","7018762"
"DALHOUSIE STATION","45,300","-74,467","QC","-9,3","0",ND,"3,0","0","-29,5","0","50,2","0",ND,"50,2","0",ND,"28,0","13","","",ND,"847,7","0,0","701A9EC"
"TROIS RIVIERES AQUEDUC","46,383","-72,617","QC","-11,1","0","1,0","1,0","0","-33,0","0","52,6","0","90,0","52,6","0","63,0","42,0","10","","",ND,"900,9","0,0","701HE63"
"LAC AUX SABLES","46,867","-72,400","QC","-12,8","0","0,8","0,0","0","-34,0","0","52,4","0","93,0","52,4","0","69,0","87,0","7","","",ND,"955,8","0,0","701LEEH"
"ARTHABASKA","46,017","-71,950","QC","-10,7","0","0,1","2,0","0","-32,0","0","62,0","0","114,0","62,0","0","76,0","26,0","9","","",ND,"889,5","0,0","7020305"
"ASBESTOS","45,767","-71,950","QC","-12,1","12",ND,"2,0","11","-29,0","12","54,0","12",ND,"54,0","12",ND,"50,0","5","","",ND,"572,0","0,0","7020360"
"AUTEUIL","45,650","-73,733","QC","-9,9","0",ND,"1,0","0","-32,0","0","72,8","0",ND,"72,8","0",ND,"60,0","12","","",ND,"864,3","0,0","7020392"
"BEAUSEJOUR","46,667","-71,167","QC","-11,9","0","0,6","-1,0","0","-32,0","0","78,0","0","108,0","78,0","0","85,0","70,0","13","","",ND,"927,0","0,0","7020567"
"BECANCOUR","46,333","-72,433","QC","-11,4","0",ND,"1,0","0","-31,0","0","52,4","0",ND,"52,4","0",ND,"52,0","9","","",ND,"912,1","0,0","7020570"
"BISHOPTON","45,583","-71,567","QC","-11,5","0",ND,"1,5","0","-38,0","0","78,8","0",ND,"78,8","0",ND,"60,0","13","","",ND,"914,0","0,0","7020800"
"BONSECOURS","45,400","-72,267","QC","-11,0","0","0,0","1,5","0","-31,5","0","110,6","0","157,0","110,6","0","111,0","46,0","11","45,1","0","71,0","900,1","0,0","7020828"
"BROME","45,183","-72,567","QC","-11,1","0","-0,7","2,0","0","-37,0","0","114,1","0","166,0","114,1","0","116,0","48,0","15","","",ND,"902,8","0,0","7020840"
"BROMPTONVILLE","45,483","-71,950","QC","-11,1","0","-0,5","2,5","0","-34,5","0","65,0","0","132,0","65,0","0","89,0","19,0","14","","",ND,"902,8","0,0","7020860"
"BURY","45,517","-71,483","QC","-10,9","0",ND,"1,0","0","-32,0","0","104,8","0",ND,"104,8","0",ND,"45,0","14","","",ND,"897,1","0,0","7020885"
"CHARTIERVILLE","45,283","-71,200","QC","",,ND,"",,"",,"137,4","0",ND,"137,4","0",ND,"98,0","15","","",ND,"","","7021320"
"COATICOOK","45,150","-71,800","QC","-9,6","0","0,2","4,0","0","-30,0","0","94,9","0","162,0","94,9","0","117,0","44,0","12","","",ND,"856,0","0,0","7021840"
"DISRAELI","45,917","-71,317","QC","-11,6","0",ND,"0,0","0","-29,5","0","85,8","0",ND,"85,8","0",ND,"34,0","11","74,1","0",ND,"917,1","0,0","7022000"
"DRUMMONDVILLE","45,883","-72,483","QC","-10,2","0","-0,1","1,0","0","-30,0","0","76,6","0","129,0","76,6","0","89,0","55,0","9","","",ND,"875,4","0,0","7022160"
"DURHAM SUD","45,633","-72,350","QC","-10,4","0",ND,"2,0","0","-32,0","0","112,4","0",ND,"112,4","0",ND,"113,0","12","","",ND,"881,3","0,0","70222DR"
"EAST HEREFORD","45,083","-71,500","QC","-11,6","0",ND,"3,0","0","-35,0","0","118,4","0",ND,"118,4","0",ND,"45,0","14","","",ND,"919,1","0,0","7022300"
"FARNHAM","45,300","-72,900","QC","-9,5","0","0,5","1,5","0","-31,5","0","65,5","0","130,0","65,5","0","84,0","24,0","13","","",ND,"851,7","0,0","7022320"
"FLEURY","45,800","-73,000","QC","-11,1","0","-0,3","2,0","0","-32,0","0","73,7","0","165,0","73,7","0","100,0","56,0","11","","",ND,"902,0","0,0","7022375"
"FORTIERVILLE","46,483","-72,050","QC","-11,6","0","1,0","0,0","0","-32,0","0","65,5","0","116,0","65,5","0","86,0","30,0","11","","",ND,"918,2","0,0","7022494"
"GARTHBY","45,833","-71,383","QC","-11,5","0",ND,"2,0","0","-35,0","0","61,7","0",ND,"61,7","0",ND,"49,0","10","","",ND,"913,5","0,0","7022596"
"GEORGEVILLE","45,133","-72,233","QC","-11,2","0","-0,4","1,5","0","-35,5","0","135,8","0","175,0","136,6","0","132,0","58,0","18","","",ND,"903,9","0,0","7022720"
"GRANBY","45,383","-72,717","QC","-9,6","0","0,1","0,5","0","-32,0","0","82,1","0","126,0","82,1","0","84,0","50,0","11","","",ND,"856,9","0,0","7022800"
